STAID,SOUNAME,LAT,LON,HGHT,code
14,SALZBURG-FLUGHAFEN                      ,47.7891666666667,13.0080555555556,430,AA
15,SONNBLICK (TAWES)                       ,47.0541666666667,12.9575,3109,AB
40,BAMBERG                                 ,49.8752777777778,10.9216666666667,240,AC
42,BREMEN                                  ,53.0463888888889,8.79916666666667,4,AD
58,ZUGSPITZE                               ,47.4219444444444,10.9866666666667,2964,AE
164,GRONINGEN-1                             ,53.1830555555556,6.6,1,AF
168,BEEK                                    ,50.9330555555556,5.81666666666667,115,AG
468,HELGOLAND                               ,54.1763888888889,7.89305555555555,4,AH
470,SCHLESWIG                               ,54.5288888888889,9.54916666666667,43,AI
473,GREIFSWALD                              ,54.0977777777778,13.4075,2,AJ
476,HANNOVER                                ,52.4655555555556,9.67944444444444,55,AK
477,MAGDEBURG                               ,52.1030555555556,11.5841666666667,76,AL
479,DUSSELDORF                              ,51.2969444444444,6.77,37,AM
483,DRESDEN-KLOTZSCHE                       ,51.1291666666667,13.7558333333333,227,AN
489,WURZBURG                                ,49.7713888888889,9.95888888888889,268,AO
490,HOF                                     ,50.3130555555556,11.8775,565,AP
491,SAARBRUCKEN/ENSHEIM                     ,49.2141666666667,7.10805555555556,320,AQ
492,NURNBERG                                ,49.5041666666667,11.0566666666667,314,AR
493,STRAUBING                               ,48.8283333333333,12.5602777777778,351,AS
494,AUGSBURG                                ,48.4263888888889,10.9430555555556,461,AT
495,KONSTANZ                                ,47.6780555555556,9.19083333333333,443,AU
496,KEMPTEN                                 ,47.7241666666667,10.3363888888889,705,AV
603,LEEUWARDEN                              ,53.2230555555556,5.75166666666667,0,AW
812,KAHLER ASTEN (WST)                      ,51.1816666666667,8.49,839,AX
2563,DEELEN-1                                ,52.0666666666667,5.88305555555556,50,AY
2569,TWENTHE-1                               ,52.2666666666667,6.9,35,AZ
2759,BERLIN-DAHLEM                           ,52.4638888888889,13.3016666666667,51,BA
3506,STUTTGART-SCHNARRENBERG                 ,48.8291666666667,9.20083333333333,314,BB
3990,GERA-LEUMNITZ                           ,50.8819444444444,12.13,311,BC
3991,GIESSEN/WETTENBERG                      ,50.6008333333333,8.65055555555556,203,BD
3992,ANGERMUNDE                              ,53.0330555555556,13.9930555555556,54,BE
3996,KOLN-BONN                               ,50.8658333333333,7.15833333333333,92,BF
4001,NORDERNEY                               ,53.7138888888889,7.1525,11,BG
4002,OBERSTDORF                              ,47.3988888888889,10.2766666666667,806,BH
4003,OHRINGEN                                ,49.2080555555556,9.51833333333333,276,BI
4004,REGENSBURG                              ,49.0433333333333,12.1030555555556,365,BJ
4005,BERLIN-DAHLEM                           ,52.4638888888889,13.3016666666667,51,BK
4006,STOTTEN                                 ,48.6666666666667,9.86555555555556,734,BL
4008,WEIDEN                                  ,49.6669444444444,12.1855555555556,440,BM
4012,MANNHEIM                                ,49.51,8.555,96,BN
4015,CUXHAVEN                                ,53.8730555555556,8.70666666666667,5,BO
4131,GARMISCH-PARTENKIRCHEN                  ,47.4838888888889,11.0633333333333,719,BP
4151,GOTTINGEN                               ,51.5016666666667,9.95277777777778,167,BQ
4185,ARTERN                                  ,51.3755555555556,11.2930555555556,164,BR
4217,BAD HERSFELD                            ,50.8530555555556,9.73833333333333,272,BS
4390,BAD MARIENBERG                          ,50.6630555555556,7.95944444444444,547,BT
4428,MUHLDORF                                ,48.28,12.5038888888889,405,BU
4652,SOLTAU                                  ,52.9616666666667,9.79666666666667,76,BV
4776,WITTENBERG                              ,51.8902777777778,12.6463888888889,105,BW
4882,BRAUNSCHWEIG                            ,52.2902777777778,10.4483333333333,81,BX
4885,BREMERHAVEN                             ,53.5344444444444,8.57694444444444,7,BY
11748,GREIFSWALD                              ,54.0977777777778,13.4075,2,BZ
24043,SALZBURG-FLUGHAFEN                      ,47.7891666666667,13.0080555555556,430,CA
24247,SONNBLICK (TAWES)                       ,47.0541666666667,12.9575,3109,CB
24416,SALZBURG-FLUGHAFEN                      ,47.7891666666667,13.0080555555556,430,CC
24697,INNSBRUCK-UNIV.                         ,47.2594444444444,11.3841666666667,578,CD
24779,SALZBURG-FLUGHAFEN                      ,47.7891666666667,13.0080555555556,430,CE
24789,SALZBURG-FLUGHAFEN                      ,47.7891666666667,13.0080555555556,430,CF
24814,INNSBRUCK-UNIV                          ,47.26,11.3841666666667,578,CG
24847,SONNBLICK (TAWES)                       ,47.0538888888889,12.9575,3109,CH
